Time,pt0,pt1,pt2
0.0,0.49999999999999994,0.5,0.5
0.05,0.49999999999999994,0.5,0.5
0.1,0.49999999999999994,0.4999999999999962,0.4999999999999975
0.2,0.7445999999999999,0.49988561065784404,0.49985050377424123
5.0,0.7445999999999999,0.49947039350115985,0.4992490842792825
10.0,0.7445999999999999,0.49946545385587054,0.4992550347200044
15.0,0.7445999999999999,0.49946160462009065,0.4992624093385767
20.0,0.7445999999999999,0.49945793308806347,0.4992698389986224
22.5,0.7445999999999999,0.499456130655405,0.4992735485622672
22.75,1.0381999999999998,0.49913309828324615,0.4988201546440876
23.0,1.3317999999999997,0.4985799706285733,0.49802765215075945
23.25,1.6254,0.49788475526582526,0.49702614817828245
23.5,1.9189999999999998,0.4971517202140761,0.49596998755737753
25.0,1.9189999999999998,0.496916535796057,0.4956461721471067
40.0,1.9189999999999998,0.49685074075086255,0.4957732990995077
50.0,1.9189999999999998,0.4968112568874079,0.49585778926813995
60.0,1.9189999999999998,0.49677430438103537,0.495940391606563
75.0,1.9189999999999998,0.49672376470305807,0.4960587334046168
90.0,1.9189999999999998,0.49667734687388987,0.4961707591317164
99.5,1.9189999999999998,0.4966494184743347,0.4962390475105495
99.75,2.3460000000000005,0.49587807983741716,0.49513681050651975
100.0,2.773,0.4949334915579209,0.4937799433951908
100.25,3.1999999999999997,0.4939728719649843,0.4924006599105745
100.5,3.627,0.4930241590823537,0.4910401540125427
110.0,3.627,0.4928824384278763,0.49111293090380487
120.0,3.627,0.49280480666329607,0.4912822229388884
140.0,3.627,0.49266570700786116,0.4915998938529473
150.0,3.627,0.49259979743543164,0.4917529222125006
156.5,3.627,0.4925583869194074,0.49184982025556195
156.75,3.7437500000000004,0.49231643566607514,0.49150791553801854
157.0,3.860500000000001,0.4920627681488654,0.49114902022490653
157.25,3.9772499999999997,0.49180851176738466,0.4907895716466558
157.5,4.094,0.49155420622157014,0.4904303651664109
160.0,4.094,0.49152500016231976,0.49046007071165926
170.0,4.094,0.4914498619593297,0.490630540305362
180.0,4.094,0.4913791619227588,0.49079275295495944
190.0,4.094,0.4913116098554275,0.4909478420751457
200.0,4.094,0.4912468652529547,0.4910956218202255
210.0,4.094,0.4911846195804763,0.49123600367834785
212.5,4.094,0.49116920958669585,0.4912706356473084
213.0,4.3025,0.4907241792813983,0.49064210727693686
213.5,4.511000000000001,0.49027033339591175,0.4900016775978909
215.0,4.511000000000001,0.4902520621182484,0.49001563607650084
220.0,4.511000000000001,0.49021514407602707,0.4900951128006786
230.0,4.511000000000001,0.4901444769211483,0.49024604196188015
240.0,4.511000000000001,0.49007640447476114,0.4903893355975801
250.0,4.511000000000001,0.49001067688308464,0.49052487331877875
260.0,4.511000000000001,0.489947066946476,0.49065262518459435
266.5,4.511000000000001,0.4899065567699065,0.4907323782847359
266.75,4.63075,0.48965370753884385,0.49037390387872115
267.0,4.7505000000000015,0.48939364569630234,0.49000509656188374
267.25,4.8702499999999995,0.4891333142761095,0.4896362144064755
267.5,4.9899999999999975,0.4888729097967509,0.48926754701631503
280.0,4.9899999999999975,0.4887721480563691,0.4894391051587101
300.0,4.9899999999999975,0.48863172864937493,0.4896905338259283
310.0,4.9899999999999975,0.4885636626318874,0.4898082876631327
315.0,4.9899999999999975,0.4885301409581559,0.4898651710747482
316.5,4.9899999999999975,0.4885201298091408,0.48988205662531814
316.75,5.113500000000001,0.48825772632163017,0.4895096762379128
317.0,5.237000000000002,0.48798949686835075,0.4891290210008869
317.25,5.3605,0.4877210616943084,0.488748395016699
317.5,5.484000000000001,0.48745254394625553,0.48836797972014534
320.0,5.484000000000001,0.48742712026754353,0.4883960175296347
330.0,5.484000000000001,0.4873467298169874,0.48852982326754985
350.0,5.484000000000001,0.48719651739587366,0.48876327906699246
360.0,5.484000000000001,0.48712343588210494,0.4888727694571429
375.0,5.484000000000001,0.4870189181608794,0.4890157625536906
380.0,5.484000000000001,0.4869845367789921,0.48906139714178914
390.0,5.484000000000001,0.48691743775474566,0.489144660658142
400.0,5.484000000000001,0.4868518506929732,0.4892200589723905
410.0,5.484000000000001,0.4867876401694969,0.4892877522539387
415.0,5.484000000000001,0.4867558630972165,0.48931969364504074
419.0,5.484000000000001,0.48673064374487696,0.48934403854428
419.5,5.484000000000001,0.4867274944627523,0.4893470627873674
419.75,5.688499999999998,0.4862921938450604,0.48872436210209136
420.0,5.893,0.4858490619969341,0.48809064527897505
420.25,6.097500000000002,0.48540569442722764,0.4874571357070183
420.5,6.302,0.4849622165847207,0.4868240181633658
421.0,6.302,0.4845990421510795,0.4865429498853526
422.0,6.302,0.48049413349820635,0.4834083891461963
423.0,6.302,0.4680644198887799,0.4724023344542445
424.0,6.302,0.448818913191665,0.4556521330509692
425.0,6.302,0.40483085496435894,0.4015314181702866
426.0,6.302,-0.7947302417683952,5.887057395666602
428.0,6.302,6.109039787599602,6.03896645408766
429.0,6.302,6.130327430318692,6.091291291359063
430.0,6.302,6.069332423912974,6.027608240655707
431.0,6.302,6.0991302864660035,6.071617266417881
432.0,6.302,5.992060146734719,5.9656217328718375
433.0,6.302,5.915725280225,5.9104746761374205
434.0,6.302,5.88430421309013,5.892396798278646
435.0,6.302,5.965210229006638,5.948667343320014
436.0,6.302,5.966981781272855,5.944126006616673
437.0,6.302,5.928459971180479,5.934902978354245
438.0,6.302,5.922090628844102,5.89977685924837
439.0,6.302,5.928113140473183,5.905448152423422
440.0,6.302,5.90907628265913,5.895889204478198
441.0,6.302,5.937368710427998,5.916277396186714
442.0,6.302,5.893801419471659,5.891868639661678
443.0,6.302,5.911495497901254,5.8911728894804565
444.0,6.302,5.925269002932794,5.908775105597953
445.0,6.302,5.913832386092768,5.90924384649157
447.0,6.302,5.91204184339893,5.910036029419394
448.0,6.302,5.897004110648089,5.892371189840801
449.0,6.302,5.929336313444033,5.923144749901788
450.0,6.302,5.910649748543576,5.904329984728259
452.0,6.302,5.916518640836753,5.9164300630332605
452.5,6.302,5.922926100635878,5.921963426369792
452.75,5.571999999999998,5.682048120808099,5.685094381567575
453.0,4.842000000000001,5.398077380863247,5.403402279043586
453.25,4.112000000000001,5.123708415004581,5.131246054810553
453.5,3.382,4.871446249770467,4.881681314786302
453.75,3.382,4.7828307357605695,4.794060822715241
454.0,3.382,4.696669562070106,4.708202550718574
455.0,3.382,4.448763809294778,4.459761609902835
460.0,3.382,3.8912808923610496,3.8982578037817452
470.0,3.382,3.556636823058832,3.559719920164074
480.0,3.382,3.4515636349338323,3.4530180459647952
500.0,3.382,3.391917615519345,3.392248502679619
550.0,3.382,3.3761616527842517,3.376089093614801
600.0,3.382,3.3775704003216345,3.377487632558713
650.0,3.382,3.3796549919811403,3.379603505098149
700.0,3.382,3.3808277310628667,3.3807986966362127
713.0,3.382,3.381069709868577,3.381045639356187
750.0,3.382,3.3814405489245467,3.3814252662519233
800.0,3.382,3.3816677602805876,3.3816588766203615
850.0,3.382,3.381771773969961,3.3817664071291023
